seria,opis_serii,harmoniczna,czestotliwosc_Hz,amplituda
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1500,0.49
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1550,0.96
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1600,1.02
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1650,0.97
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1700,1.26
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1750,1.98
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1800,2.77
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1820,3.53
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1840,4.43
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1860,5.27
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1880,6.52
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1890,7.3
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1900,8.22
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1910,8.98
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1920,9.87
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1930,10.13
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1940,9.65
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1950,9.02
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1960,8.09
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1970,6.85
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,1980,5.63
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2000,4.43
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2020,3.85
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2040,3.62
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2050,3.28
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2060,3.16
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2080,2.97
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2100,2.54
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2150,2.1
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2200,1.69
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2250,1.5
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2300,1.17
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2350,1.14
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2400,1.13
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2450,1.13
powietrze_helmholtz,Powietrze w komorze Helmholtza,1,2500,0.87
powietrze_helmholtz,Powietrze w komorze Helmholtza,2,3500,0.866
powietrze_helmholtz,Powietrze w komorze Helmholtza,2,3550,0.992
powietrze_helmholtz,Powietrze w komorze Helmholtza,2,3600,1.022
