seria,opis_serii,harmoniczna,czestotliwosc_Hz,amplituda
rodamina_metanol,Roztwór rodaminy w metanolu,1,1500,1.26
rodamina_metanol,Roztwór rodaminy w metanolu,1,1550,1.26
rodamina_metanol,Roztwór rodaminy w metanolu,1,1600,1.29
rodamina_metanol,Roztwór rodaminy w metanolu,1,1650,1.35
rodamina_metanol,Roztwór rodaminy w metanolu,1,1700,1.46
rodamina_metanol,Roztwór rodaminy w metanolu,1,1750,1.52
rodamina_metanol,Roztwór rodaminy w metanolu,1,1800,1.57
rodamina_metanol,Roztwór rodaminy w metanolu,1,1850,1.76
rodamina_metanol,Roztwór rodaminy w metanolu,1,1900,1.99
rodamina_metanol,Roztwór rodaminy w metanolu,1,1950,2.15
rodamina_metanol,Roztwór rodaminy w metanolu,1,2000,2.49
rodamina_metanol,Roztwór rodaminy w metanolu,1,2050,2.99
rodamina_metanol,Roztwór rodaminy w metanolu,1,2100,3.75
rodamina_metanol,Roztwór rodaminy w metanolu,1,2110,4.01
rodamina_metanol,Roztwór rodaminy w metanolu,1,2120,4.22
rodamina_metanol,Roztwór rodaminy w metanolu,1,2130,4.54
rodamina_metanol,Roztwór rodaminy w metanolu,1,2140,4.81
rodamina_metanol,Roztwór rodaminy w metanolu,1,2150,5.18
rodamina_metanol,Roztwór rodaminy w metanolu,1,2160,5.69
rodamina_metanol,Roztwór rodaminy w metanolu,1,2170,6.16
rodamina_metanol,Roztwór rodaminy w metanolu,1,2180,6.82
rodamina_metanol,Roztwór rodaminy w metanolu,1,2190,7.32
rodamina_metanol,Roztwór rodaminy w metanolu,1,2200,8.02
rodamina_metanol,Roztwór rodaminy w metanolu,1,2202,8.21
rodamina_metanol,Roztwór rodaminy w metanolu,1,2204,8.39
rodamina_metanol,Roztwór rodaminy w metanolu,1,2206,8.62
rodamina_metanol,Roztwór rodaminy w metanolu,1,2208,8.89
rodamina_metanol,Roztwór rodaminy w metanolu,1,2210,9.12
rodamina_metanol,Roztwór rodaminy w metanolu,1,2212,9.34
rodamina_metanol,Roztwór rodaminy w metanolu,1,2214,9.56
rodamina_metanol,Roztwór rodaminy w metanolu,1,2216,9.87
rodamina_metanol,Roztwór rodaminy w metanolu,1,2218,10.29
rodamina_metanol,Roztwór rodaminy w metanolu,1,2220,10.56
rodamina_metanol,Roztwór rodaminy w metanolu,1,2222,10.92
rodamina_metanol,Roztwór rodaminy w metanolu,1,2224,11.3
rodamina_metanol,Roztwór rodaminy w metanolu,1,2226,11.72
rodamina_metanol,Roztwór rodaminy w metanolu,1,2228,12.14
rodamina_metanol,Roztwór rodaminy w metanolu,1,2230,12.53
rodamina_metanol,Roztwór rodaminy w metanolu,1,2232,12.98
rodamina_metanol,Roztwór rodaminy w metanolu,1,2234,13.46
rodamina_metanol,Roztwór rodaminy w metanolu,1,2236,14.01
rodamina_metanol,Roztwór rodaminy w metanolu,1,2238,14.5
rodamina_metanol,Roztwór rodaminy w metanolu,1,2240,15.07
rodamina_metanol,Roztwór rodaminy w metanolu,1,2242,15.51
rodamina_metanol,Roztwór rodaminy w metanolu,1,2244,16.0
rodamina_metanol,Roztwór rodaminy w metanolu,1,2246,16.65
rodamina_metanol,Roztwór rodaminy w metanolu,1,2248,17.24
rodamina_metanol,Roztwór rodaminy w metanolu,1,2250,17.8
rodamina_metanol,Roztwór rodaminy w metanolu,1,2252,18.49
rodamina_metanol,Roztwór rodaminy w metanolu,1,2254,19.14
rodamina_metanol,Roztwór rodaminy w metanolu,1,2256,19.8
rodamina_metanol,Roztwór rodaminy w metanolu,1,2258,20.47
rodamina_metanol,Roztwór rodaminy w metanolu,1,2260,20.56
rodamina_metanol,Roztwór rodaminy w metanolu,1,2262,20.45
rodamina_metanol,Roztwór rodaminy w metanolu,1,2264,20.43
rodamina_metanol,Roztwór rodaminy w metanolu,1,2266,20.13
rodamina_metanol,Roztwór rodaminy w metanolu,1,2268,20.06
rodamina_metanol,Roztwór rodaminy w metanolu,1,2270,19.88
rodamina_metanol,Roztwór rodaminy w metanolu,1,2272,19.45
rodamina_metanol,Roztwór rodaminy w metanolu,1,2274,18.87
rodamina_metanol,Roztwór rodaminy w metanolu,1,2276,18.15
rodamina_metanol,Roztwór rodaminy w metanolu,1,2278,17.49
rodamina_metanol,Roztwór rodaminy w metanolu,1,2280,16.8
rodamina_metanol,Roztwór rodaminy w metanolu,1,2282,16.24
rodamina_metanol,Roztwór rodaminy w metanolu,1,2284,15.56
rodamina_metanol,Roztwór rodaminy w metanolu,1,2286,15.02
rodamina_metanol,Roztwór rodaminy w metanolu,1,2288,14.38
rodamina_metanol,Roztwór rodaminy w metanolu,1,2290,13.73
rodamina_metanol,Roztwór rodaminy w metanolu,1,2292,13.27
rodamina_metanol,Roztwór rodaminy w metanolu,1,2294,12.68
rodamina_metanol,Roztwór rodaminy w metanolu,1,2296,12.13
rodamina_metanol,Roztwór rodaminy w metanolu,1,2298,11.54
